root,translit,top_gloss,occurrences,n_ayahs,loc_raw,loc_whitened,delta
زكو,z-k-w,Intelligent,59,56,0.559,0.692,0.133
حكم,h-k-m,Wise,210,189,0.724,0.858,0.134
دخل,d-kh-l,entered,126,111,0.637,0.771,0.135
حضر,h-d-r,Presence,25,25,0.842,0.979,0.137
حبب,h-b-b,Loved,95,85,0.582,0.722,0.14
جعل,j-3-l,,346,311,0.827,0.97,0.143
ليل,l-y-l,night,92,81,0.784,0.931,0.147
وعد,w-3-d,,151,130,0.941,1.09,0.149
نصر,n-s-r,Victory,158,137,0.716,0.866,0.15
صبر,s-b-r,Patience,103,93,0.668,0.819,0.152
نفر,n-f-r,Fled,18,16,0.568,0.721,0.153
خوف,kh-w-f,feared,124,112,0.636,0.79,0.154
شري,sh-r-a,Bought,25,23,0.403,0.559,0.156
غلم,gh-l-m,To lust,13,13,0.38,0.536,0.157
لهو,l-h-w,Diversion,16,15,0.553,0.71,0.157
نور,n-w-r,Fire,194,174,0.593,0.75,0.158
نفس,n-f-s,Esteemed,298,270,0.727,0.885,0.158
علم,3-l-m,Knowledge,854,728,0.708,0.867,0.158
سور,s-w-r,leap,17,16,0.437,0.597,0.159
بلو,b-l-w,Blundered,38,35,0.805,0.966,0.161
مرا,m-r-ʾ,,38,37,0.652,0.814,0.162
قرن,q-r-n,Competitor,36,34,0.731,0.893,0.162
نزل,n-z-l,Rations,293,257,0.712,0.874,0.162
علن,3-l-n,Openness,16,16,0.472,0.636,0.165
فحش,f-h-sh,Excessive,24,23,0.743,0.909,0.166
ثني,th-n-a,Pine-tree,29,24,0.699,0.866,0.167
زوج,z-w-j,Pair,81,72,0.814,0.983,0.169
فتح,f-t-h,Opened,38,33,0.777,0.949,0.172
احد,a-h-d,One,85,82,0.692,0.866,0.174
عمر,3-m-r,lived,24,19,0.808,0.982,0.174
فرض,f-r-d,Imposed,18,14,0.554,0.73,0.176
فرق,f-r-q,group,72,66,0.697,0.874,0.177
هدي,h-d-a,Guidance,316,268,0.679,0.856,0.177
متع,m-t-3,Delight,70,65,0.758,0.938,0.18
شرك,sh-r-k,Polytheist,168,143,0.675,0.855,0.18
خزي,kh-z-a,Disgraced,26,24,0.691,0.872,0.181
كسب,k-s-b,bad dates,67,60,0.776,0.96,0.184
خلد,kh-l-d,Abode,87,86,0.721,0.905,0.184
صرط,s-r-T,,45,45,0.556,0.741,0.185
الم,a-l-m,Painful,75,73,0.475,0.661,0.186
صيح,s-y-h,Sack,13,13,0.455,0.642,0.187
شجر,sh-j-r,Tree,27,26,0.862,1.05,0.188
نجو,n-j-w,free,84,75,0.65,0.838,0.188
راي,r-a-a,Facing,328,297,0.792,0.98,0.188
رسل,r-s-l,Messenger,513,429,0.727,0.915,0.188
مكن,m-k-n,,18,16,0.686,0.876,0.189
ظهر,z-h-r,appeared,59,57,0.73,0.919,0.19
ملك,m-l-k,Ownership,206,191,0.663,0.854,0.191
جهل,j-h-l,,24,24,0.754,0.946,0.192
رضو,r-d-w,Pleased,73,64,0.71,0.902,0.192
عود,3-w-d,'ʿĀd',63,58,0.855,1.048,0.193
خير,kh-y-r,Good,196,178,0.69,0.888,0.198
زيد,z-y-d,increased,61,59,0.742,0.94,0.198
كفي,k-f-a,Sufficed,33,32,0.686,0.884,0.198
ظلل,z-l-l,Remained,33,31,0.776,0.977,0.201
اوب,a-w-b,Repenter,17,17,0.539,0.742,0.203
برر,b-r-r,Pious,32,30,0.775,0.98,0.205
امن,a-m-n,to be secure,879,723,0.615,0.821,0.206
خرر,kh-r-r,Gurgled,12,12,0.505,0.711,0.206
دنو,d-n-w,World,133,128,0.586,0.797,0.21
قوم,q-w-m,people,660,597,0.8,1.011,0.212
نبا,n-b-a,news,160,151,0.741,0.954,0.213
ثمر,th-m-r,Fragment,24,22,0.77,0.984,0.214
خلص,kh-l-s,Refuge,31,30,0.62,0.834,0.214
شيا,sh-y-a,Thing,519,449,0.677,0.894,0.217
قضي,q-d-a,finished,63,59,0.744,0.961,0.217
جهد,j-h-d,,41,36,0.409,0.627,0.218
فتن,f-t-n,He burned it,60,58,0.648,0.867,0.22
قصص,q-s-s,Cutting,30,25,0.553,0.773,0.22
بلغ,b-l-gh,Attainment,77,73,0.73,0.95,0.22
عدد,3-d-d,He counted,57,50,0.746,0.97,0.224
دبر,d-b-r,Back,44,44,0.553,0.777,0.224
قبل,q-b-l,Accepted,294,282,0.704,0.929,0.224
عزز,3-z-z,Mighty,119,116,0.492,0.717,0.224
حسن,h-s-n,Best,194,177,0.677,0.904,0.227
وفي,w-f-a,Fulfill or Keeper,66,64,0.703,0.931,0.228
فرح,f-r-h,Rejoiced,22,21,0.53,0.76,0.23
حرم,h-r-m,Prohibited,83,71,0.558,0.789,0.231
عقل,3-q-l,Rendered,49,49,0.667,0.901,0.234
اوي,a-w-a,refuge,36,36,0.731,0.966,0.235
خلو,kh-l-w,Except,28,28,0.784,1.02,0.236
نفق,n-f-q,Expended,111,86,0.408,0.644,0.237
عند,3-n-d,at,201,189,0.689,0.926,0.237
باس,b-a-s,Wretchedness,73,70,0.685,0.922,0.237
اذن,a-dh-n,Ear,102,90,0.665,0.903,0.238
جبي,j-b-a,,12,12,0.581,0.82,0.239
قوي,q-w-a,Strong,42,39,0.59,0.83,0.24
رقب,r-q-b,He watched,24,20,0.662,0.903,0.24
دعو,d-3-w,Supplication,212,182,0.665,0.906,0.241
اخذ,a-kh-dh,took,273,244,0.635,0.876,0.241
قطع,q-T-3,Colic,36,36,0.569,0.811,0.241
نشر,n-sh-r,Published,21,20,0.6,0.844,0.244
صرف,s-r-f,Accidents,30,29,0.577,0.821,0.244
بدل,b-d-l,Substituted,44,40,0.547,0.792,0.245
سجد,s-j-d,Sajdah,92,81,0.673,0.921,0.248
كلل,k-l-l,Dim,377,355,0.622,0.87,0.248
نعم,n-3-m,Bliss,140,128,0.814,1.063,0.249
حصن,h-s-n,Fortified,18,12,0.538,0.787,0.249
نطف,n-T-f,Sperm,12,12,0.766,1.015,0.249
ابي,a-b-a,refused,13,12,0.607,0.856,0.249
مثل,m-th-l,Example,169,148,0.669,0.919,0.25
مدد,m-d-d,Extent,32,29,0.593,0.843,0.251
بعد,b-3-d,"""became distant""",235,223,0.727,0.98,0.253
سبل,s-b-l,Way,176,164,0.481,0.736,0.255
توب,t-w-b,Repented,87,69,0.431,0.687,0.256
نفخ,n-f-kh,blew,20,18,0.675,0.932,0.256
جهر,j-h-r,,16,15,0.523,0.78,0.256
سكن,s-k-n,Poor,69,66,0.797,1.054,0.257
كتم,k-t-m,Concealed,21,20,0.479,0.737,0.258
طين,T-y-n,To cover,12,12,0.703,0.961,0.259
نزع,n-z-3,Baldness,20,20,0.653,0.912,0.259
شقق,sh-q-q,Split,28,25,0.612,0.873,0.261
حقق,h-q-q,حق,287,263,0.575,0.836,0.262
عدو,3-d-w,openly,106,92,0.747,1.01,0.263
سوق,s-w-q,Clouds,17,16,0.677,0.94,0.263
جري,j-r-a,,64,64,0.908,1.175,0.267
قدم,q-d-m,Foot,48,48,0.753,1.02,0.267
بين,b-y-n,Clear,523,454,0.687,0.958,0.271
اذي,a-dh-a,Harmed,24,22,0.424,0.696,0.272
هود,h-w-d,Moved,21,21,0.494,0.766,0.272
حمد,h-m-d,praised,63,61,0.457,0.73,0.273
ذلل,dh-l-l,Humiliation,24,23,0.527,0.803,0.276
تبع,t-b-3,Followed,172,156,0.573,0.85,0.277
زعم,z-3-m,He asserted,17,16,0.516,0.799,0.283
عمل,3-m-l,Worked,360,313,0.648,0.931,0.283
حلف,h-l-f,Swore,13,12,0.524,0.807,0.284
برك,b-r-k,Blessed,32,32,0.612,0.897,0.284
دون,d-w-n,Inferior,144,142,0.487,0.772,0.285
بكر,b-k-r,Pulley,12,12,0.591,0.879,0.288
امم,a-m-m,Community,119,108,0.631,0.92,0.289
